EDUCATION,SOUTH,SEX,EXPERIENCE,UNION,WAGE,AGE,RACE,OCCUPATION,SECTOR,MARR
8,0,1,21,0,0.7075701760979364,35,2,6,1,1
9,0,1,42,0,0.6946051989335688,57,3,6,1,1
12,0,0,1,0,0.8241258339165489,19,3,6,1,0
12,0,0,4,0,0.6020599913279624,22,3,6,0,0
12,0,0,17,0,0.8750612633917001,35,3,6,0,1
13,0,0,9,1,1.1162755875805443,28,3,6,0,0
10,1,0,27,0,0.6483600109809317,43,3,6,0,0
12,0,0,9,0,1.2893659515200318,27,3,6,0,0
16,0,0,11,0,1.1231980750319988,33,3,6,1,1
12,0,0,9,0,0.9420080530223133,27,3,6,0,0
12,0,0,17,1,1.0549958615291415,35,3,6,0,1
12,0,0,19,1,1.0606978403536116,37,3,6,1,0
8,1,0,27,0,0.8129133566428556,41,3,6,0,1
9,1,0,30,1,0.7958800173440752,45,3,6,0,0
9,1,0,29,0,1.3005954838899636,44,3,6,0,1
12,0,0,37,0,0.8633228601204559,55,3,6,2,1
7,1,0,44,0,0.9030899869919435,57,3,6,0,1
12,0,0,26,1,1.3463529744506386,44,3,6,1,1
11,0,0,16,0,0.5622928644564748,33,3,6,0,0
12,0,0,33,0,1.312811826212088,51,3,6,0,1
12,0,1,16,1,0.756636108245848,34,3,6,1,1
7,0,0,42,1,0.8450980400142568,55,1,6,1,1
12,0,0,9,0,0.5740312677277188,27,3,6,0,0
11,1,0,14,0,0.6532125137753437,31,1,6,0,1
12,0,0,23,0,0.9804578922761001,41,3,6,0,1
6,1,0,45,0,0.7596678446896304,57,3,6,1,1
12,0,0,8,0,0.9712758487381052,26,3,6,1,1
10,0,0,30,0,0.8129133566428556,46,3,6,0,1
12,0,1,8,0,0.5250448070368452,26,3,6,1,1
12,0,0,8,0,0.6766936096248666,26,3,6,0,1
14,0,0,13,0,0.9493900066449128,33,3,6,0,0
12,1,1,46,0,0.6020599913279624,64,3,6,0,0
8,0,0,19,0,0.6720978579357175,33,3,6,0,1
17,1,1,1,0,0.6989700043360189,24,3,6,0,0
12,0,0,19,0,0.9661417327390326,37,3,6,1,0
12,0,0,36,0,1.02816441942447,54,1,6,0,0
12,1,0,20,0,0.8813846567705729,38,1,6,2,1
12,0,0,35,1,1.0,53,1,6,2,1
12,0,0,3,0,0.8750612633917001,21,3,6,0,0
14,1,0,10,0,1.0863598306747482,30,3,6,1,1
12,0,0,0,0,0.5250448070368452,18,3,6,0,0
14,1,0,14,1,1.0413926851582251,34,3,6,1,1
12,0,0,14,0,1.0791812460476249,32,3,6,1,1
9,0,1,16,0,0.6857417386022636,31,3,6,1,1
13,1,0,8,0,0.6334684555795865,27,3,6,2,0
7,1,1,15,0,0.7781512503836436,28,3,6,1,1
16,0,0,12,0,1.1760912590556813,34,3,6,1,1
10,1,0,13,0,0.6857417386022636,29,3,6,0,0
8,0,0,33,1,0.9542425094393249,47,3,6,0,1
12,0,0,9,0,0.8034571156484139,27,3,6,1,1
12,0,0,7,0,0.9614210940664483,25,3,6,0,1
16,0,0,13,1,1.0413926851582251,35,3,6,1,1
12,0,1,7,0,0.6532125137753437,25,3,6,1,1
12,0,1,16,0,0.6812412373755872,34,3,6,1,1
13,0,0,0,0,0.6020599913279624,19,3,6,0,0
12,0,1,11,0,0.7403626894942439,29,3,6,1,0
13,0,0,17,0,0.9242792860618817,36,3,6,1,0
10,0,0,13,0,0.829303772831025,29,3,6,1,1
12,0,0,22,1,1.0,40,1,6,1,0
